ts,hour,day,week,month,year,weekday
1541105830796,20,1,44,11,2018,3
1541106106796,21,1,44,11,2018,3
1541106132796,21,1,44,11,2018,3
1541106352796,21,1,44,11,2018,3
1541106496796,21,1,44,11,2018,3
1541106673796,21,1,44,11,2018,3
1541107053796,21,1,44,11,2018,3
1541107493796,21,1,44,11,2018,3
1541107734796,21,1,44,11,2018,3
1541108520796,21,1,44,11,2018,3
1541109015796,21,1,44,11,2018,3
1541109125796,21,1,44,11,2018,3
1541109325796,21,1,44,11,2018,3
1541110994796,22,1,44,11,2018,3
1541121934796,1,2,44,11,2018,4
1541122176796,1,2,44,11,2018,4
1541122241796,1,2,44,11,2018,4
1541122457796,1,2,44,11,2018,4
1541126568796,2,2,44,11,2018,4
1541127957796,3,2,44,11,2018,4
1541129561796,3,2,44,11,2018,4
1541129674796,3,2,44,11,2018,4
1541135741796,5,2,44,11,2018,4
1541137949796,5,2,44,11,2018,4
1541149281796,9,2,44,11,2018,4
1541149456796,9,2,44,11,2018,4
1541149530796,9,2,44,11,2018,4
1541149698796,9,2,44,11,2018,4
1541149952796,9,2,44,11,2018,4
1541150017796,9,2,44,11,2018,4
1541150176796,9,2,44,11,2018,4
1541150355796,9,2,44,11,2018,4
1541150563796,9,2,44,11,2018,4
1541150809796,9,2,44,11,2018,4
1541151060796,9,2,44,11,2018,4
1541151325796,9,2,44,11,2018,4
1541151611796,9,2,44,11,2018,4
1541151743796,9,2,44,11,2018,4
1541152021796,9,2,44,11,2018,4
1541152223796,9,2,44,11,2018,4
1541152499796,9,2,44,11,2018,4
1541152676796,9,2,44,11,2018,4
1541152940796,10,2,44,11,2018,4
1541153045796,10,2,44,11,2018,4
1541153263796,10,2,44,11,2018,4
1541153484796,10,2,44,11,2018,4
1541153639796,10,2,44,11,2018,4
1541153958796,10,2,44,11,2018,4
1541153985796,10,2,44,11,2018,4
1541154085796,10,2,44,11,2018,4
1541154252796,10,2,44,11,2018,4
1541154546796,10,2,44,11,2018,4
1541154791796,10,2,44,11,2018,4
1541154854796,10,2,44,11,2018,4
1541155108796,10,2,44,11,2018,4
1541155342796,10,2,44,11,2018,4
1541155661796,10,2,44,11,2018,4
1541155991796,10,2,44,11,2018,4
1541156359796,10,2,44,11,2018,4
1541156671796,11,2,44,11,2018,4
1541156867796,11,2,44,11,2018,4
1541157193796,11,2,44,11,2018,4
1541157430796,11,2,44,11,2018,4
1541157495796,11,2,44,11,2018,4
1541157631796,11,2,44,11,2018,4
1541157637796,11,2,44,11,2018,4
1541157674796,11,2,44,11,2018,4
1541157808796,11,2,44,11,2018,4
1541157850796,11,2,44,11,2018,4
1541157930796,11,2,44,11,2018,4
1541158064796,11,2,44,11,2018,4
1541158069796,11,2,44,11,2018,4
1541158176796,11,2,44,11,2018,4
1541158225796,11,2,44,11,2018,4
1541158307796,11,2,44,11,2018,4
1541158400796,11,2,44,11,2018,4
1541158486796,11,2,44,11,2018,4
1541158598796,11,2,44,11,2018,4
1541158780796,11,2,44,11,2018,4
1541158843796,11,2,44,11,2018,4
1541158999796,11,2,44,11,2018,4
1541159048796,11,2,44,11,2018,4
1541159229796,11,2,44,11,2018,4
1541159299796,11,2,44,11,2018,4
1541159518796,11,2,44,11,2018,4
1541159539796,11,2,44,11,2018,4
1541159737796,11,2,44,11,2018,4
1541159803796,11,2,44,11,2018,4
1541159966796,11,2,44,11,2018,4
1541160045796,12,2,44,11,2018,4
1541160161796,12,2,44,11,2018,4
1541160187796,12,2,44,11,2018,4
1541160297796,12,2,44,11,2018,4
1541160443796,12,2,44,11,2018,4
1541160570796,12,2,44,11,2018,4
1541160592796,12,2,44,11,2018,4
1541160692796,12,2,44,11,2018,4
1541160714796,12,2,44,11,2018,4
1541160895796,12,2,44,11,2018,4
1541160936796,12,2,44,11,2018,4
1541161024796,12,2,44,11,2018,4
1541161144796,12,2,44,11,2018,4
1541161175796,12,2,44,11,2018,4
